hcode,name1,name2
368,DG0R7E40-5063 B1QK-060044,ﾊﾞｰｺｰﾄﾞ付
369,K1V12-7000, 
370,2SC4233-4012 ﾊｲﾋﾝ, 
371,S1NBC60-7102, 
372,M2FL20U-5063, 
373,PM-CS04-S-H1, 
374,S3L40-4000 ﾊｲﾋﾝ, 
375,SG30SC3LM-5600, 
376,DF10LC20U-7072, 
377,S3K60-5001 P15, 
378,G1V(B)20C-7000, 
379,D2FK60-5063, 
380,D3SBA60-7000 L1-IH,B1QK-050041
381,P3B28HP2-5071, 
382,DF10NC15-7102, 
383,SF5L30-7100 B1QK-090002 ﾊｲｼ,09年12月末最終受注
384,S1WB(A)80-7102, 
385,MR4530-7101, 
386,S3V60-7003 P15 ﾊｲｼ,09年12月末最終受注
387,P5B52HP2-5071, 
388,ST02-280F1-5103, 
389,K1V26-7000, 
390,ST03DH-240-7060, 
391,D3SBA60-4109 F02 1SK-92043 ﾊｲﾋ, 
392,M1F80-5063 ﾃﾞｰﾀﾂｷ,出荷試験成績書付 ﾀﾞｲﾔ向け
393,ST02D-200-7070, 
394,DE3L40A-7101,2020年3月末最終受注
395,D10XB60H-7100 B1QK-050035, 
396,2SC4052P-7100 ﾊｲﾋﾝ, 
397,MA1010P-7104 ﾊｲﾋﾝ, 
398,D3FP3-5063,2020年9月末最終受注
399,F10S50VX3-7100 ﾊｲｼ,09年12月末最終受注
400,2SK2179-7101 ﾊｲｼ,09年12月末最終受注
401,S3V60-5003 P20, 
402,ST02D-200*4060,ﾒｯｷ変更取りまとめ
403,P15F50HP2-5600, 
404,D4SB80-7101, 
405,MR1722-7101 ﾊｲｼ,田淵向 09年12月末最終受
406,LL25XB60-7000, 
407,D1NS6-5060 G1-I B1QK-090018, 
408,P13F28HP2-5600, 
409,D2FK60-5103, 
410,KU10L08-5063, 
411,DF15SC4M-7102, 
412,SOLGRIDMANAGER ｴﾝｶｸｼｮｷｾｯﾃｲﾋ, 
413,D25FD60V-5072 B1QK-090008,ﾊﾞｰｺｰﾄﾞ付 ﾀﾞｲﾔﾓﾝﾄﾞ
414,S1NBC80-7101, 
415,K1V10-7000, 
416,S3V60-5060 ﾃﾞｰﾀﾂｷ, 
417,M3F60-5073, 
418,S3V60-5002 P7.5, 
419,PVS-Cﾊﾞﾝ ｿｺｲﾀ, 
420,KL3L07-5063, 
421,F5E52VX3-7100 ﾊｲｼ,09年12月末最終受注
422,7SL35-25X3X8X9, 
423,D2L40-7060,最終受注2013年3月末日
424,U6SB60-7000 ﾊｲｼ,09年12月末最終受注
425,2SK2663-7101 ﾊｲｼ,09年12月末最終受注
426,PVS ｼｮｳｻｲﾎｳｺｸｼｮ ｻｸｾｲﾋﾖｳ, 
427,DF25V60-7102, 
428,SOLGRIDMANAGER ｹﾞﾝﾁｾｷｾｯﾃｲ, 
429,PVS010T200C-DN, 
430,M1FH3-5063 ﾊｲｼ, 
431,K1V(A)11-4000, 
432,CEP32-60-AGW B1ES-040024, 
433,S20LC40UV-5000, 
434,K1V5-7000,最終受注2019年3月末
435,DG1M3-5063R, 
